2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area,2016 population density,Location,City Link
81,Madison, Wisconsin,"258,054","233,209",+10.65%,77.0 sq mi,"3,280/sq mi",43°05′16′′N 89°25′48′′W,"https://en.wikipedia.org/wiki/Madison,_Wisconsin"
82,Chandler, Arizona,"257,165","236,123",+8.91%,64.9 sq mi,"3,813/sq mi",33°16′58′′N 111°51′18′′W,"https://en.wikipedia.org/wiki/Chandler,_Arizona"
83,Buffalo, New York,"256,304","261,310",−1.92%,40.4 sq mi,"6,359/sq mi",42°53′33′′N 78°51′35′′W,"https://en.wikipedia.org/wiki/Buffalo,_New_York"
84,Lubbock, Texas,"255,885","229,573",+11.46%,124.6 sq mi,"2,027/sq mi",33°33′56′′N 101°53′12′′W,"https://en.wikipedia.org/wiki/Lubbock,_Texas"
85,Scottsdale, Arizona,"255,310","217,385",+17.45%,183.9 sq mi,"1,341/sq mi",33°41′03′′N 111°51′40′′W,"https://en.wikipedia.org/wiki/Scottsdale,_Arizona"
86,Reno, Nevada,"250,998","225,221",+11.45%,107.3 sq mi,"2,286/sq mi",39°32′57′′N 119°51′00′′W,"https://en.wikipedia.org/wiki/Reno,_Nevada"
87,Glendale, Arizona,"250,702","226,721",+10.58%,59.1 sq mi,"4,161/sq mi",33°31′59′′N 112°11′24′′W,"https://en.wikipedia.org/wiki/Glendale,_Arizona"
88,Gilbert, Arizona,"248,279","208,453",+19.11%,68.0 sq mi,"3,487/sq mi",33°18′37′′N 111°44′35′′W,"https://en.wikipedia.org/wiki/Gilbert,_Arizona"
89,Winston–Salem, North Carolina,"246,328","229,617",+7.28%,132.5 sq mi,"1,828/sq mi",36°06′10′′N 80°15′40′′W,"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina"
90,North Las Vegas, Nevada,"245,949","216,961",+13.36%,98.0 sq mi,"2,436/sq mi",36°17′09′′N 115°05′38′′W,"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada"
91,Norfolk, Virginia,"244,076","242,803",+0.52%,53.3 sq mi,"4,599/sq mi",36°55′23′′N 76°14′41′′W,"https://en.wikipedia.org/wiki/Norfolk,_Virginia"
92,Chesapeake, Virginia,"242,634","222,209",+9.19%,338.5 sq mi,703/sq mi,36°40′46′′N 76°18′06′′W,"https://en.wikipedia.org/wiki/Chesapeake,_Virginia"
93,Garland, Texas,"242,507","226,876",+6.89%,57.0 sq mi,"4,122/sq mi",32°54′35′′N 96°37′49′′W,"https://en.wikipedia.org/wiki/Garland,_Texas"
94,Irving, Texas,"242,242","216,290",+12.00%,67.0 sq mi,"3,557/sq mi",32°51′28′′N 96°58′12′′W,"https://en.wikipedia.org/wiki/Irving,_Texas"
95,Hialeah, Florida,"238,942","224,669",+6.35%,21.5 sq mi,"10,995/sq mi",25°52′12′′N 80°18′10′′W,"https://en.wikipedia.org/wiki/Hialeah,_Florida"
96,Fremont, California,"237,807","214,089",+11.08%,77.5 sq mi,"3,008/sq mi",37°29′40′′N 121°56′28′′W,"https://en.wikipedia.org/wiki/Fremont,_California"
97,Boise, Idaho,"228,790","205,671",+11.24%,82.1 sq mi,"2,718/sq mi",43°36′01′′N 116°13′54′′W,"https://en.wikipedia.org/wiki/Boise,_Idaho"
98,Richmond, Virginia,"228,783","204,214",+12.03%,59.8 sq mi,"3,732/sq mi",37°31′53′′N 77°28′34′′W,"https://en.wikipedia.org/wiki/Richmond,_Virginia"
99,Baton Rouge, Louisiana,"221,599","229,493",−3.44%,85.9 sq mi,"2,651/sq mi",30°26′32′′N 91°07′51′′W,"https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana"
100,Spokane, Washington,"219,190","208,916",+4.92%,68.7 sq mi,"3,144/sq mi",47°40′01′′N 117°26′00′′W,"https://en.wikipedia.org/wiki/Spokane,_Washington"
